concept_id,target_domain,target_variables,source_datasets,source_fields,join_rule,aggregation_rule,transform_id,transform_parameters,implementation,sdtm_oak_version,unit_conversion_version,reviewer,reviewed_at,records_created
VS_CORE,VS,VISIT,vs_raw,vs_raw.INSTANCE,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_CORE,VS,VSDTC,vs_raw,vs_raw.VTLD,,,to_iso8601_date,"{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}",sdtm.oak::create_iso8601,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_CORE,VS,VSPOS,vs_raw,vs_raw.SUBPOS,,,assign_ct,"{""codelist_id"":""VSPOS""}",sdtm.oak::assign_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_CORE,VS,VISITNUM,vs_raw,vs_raw.INSTANCE,,,derive_visitnum,"{""visit_map_id"":""trace_visits_v1""}",TraceSDTM::derive_visitnum,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_DIABP,VS,VSTESTCD | VSTEST | VSORRES | VSORRESU,vs_raw,vs_raw.DIA_BP,,,transpose_findings,"{""test_code"":""DIABP"",""test_name"":""Diastolic Blood Pressure"",""original_unit"":""mmHg"",""unit_source"":null}",TraceSDTM::transpose_findings,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_DIABP,VS,VSSTRESC | VSSTRESN | VSSTRESU,vs_raw,vs_raw.DIA_BP,,,standardize_unit,"{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}",TraceSDTM::standardize_unit,,1.0.0,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_HEIGHT,VS,VSTESTCD | VSTEST | VSORRES | VSORRESU,vs_raw,vs_raw.IT.HEIGHT_VSORRES,,,transpose_findings,"{""test_code"":""HEIGHT"",""test_name"":""Height"",""original_unit"":""cm"",""unit_source"":null}",TraceSDTM::transpose_findings,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,6
VS_HEIGHT,VS,VSSTRESC | VSSTRESN | VSSTRESU,vs_raw,vs_raw.IT.HEIGHT_VSORRES,,,standardize_unit,"{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""cm""}",TraceSDTM::standardize_unit,,1.0.0,portfolio_demo_reviewer,2026-09-02T09:42:58Z,6
VS_POST_DERIVATIONS,VS,VSSEQ,,,,,derive_sequence,"{""record_variables"":[""STUDYID"",""USUBJID"",""VSDTC"",""VSTESTCD"",""VSPOS"",""VISITNUM"","".SOURCE_ROW""],""start_at"":1}",sdtm.oak::derive_seq,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,60
VS_POST_DERIVATIONS,VS,VSDY,,,,,derive_study_day,"{""target_date"":""VSDTC"",""reference_date"":""RFSTDTC""}",sdtm.oak::derive_study_day,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,60
VS_PULSE,VS,VSTESTCD | VSTEST | VSORRES | VSORRESU,vs_raw,vs_raw.PULSE,,,transpose_findings,"{""test_code"":""PULSE"",""test_name"":""Pulse Rate"",""original_unit"":""beats/min"",""unit_source"":null}",TraceSDTM::transpose_findings,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_PULSE,VS,VSSTRESC | VSSTRESN | VSSTRESU,vs_raw,vs_raw.PULSE,,,standardize_unit,"{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""beats/min""}",TraceSDTM::standardize_unit,,1.0.0,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_SYSBP,VS,VSTESTCD | VSTEST | VSORRES | VSORRESU,vs_raw,vs_raw.SYS_BP,,,transpose_findings,"{""test_code"":""SYSBP"",""test_name"":""Systolic Blood Pressure"",""original_unit"":""mmHg"",""unit_source"":null}",TraceSDTM::transpose_findings,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_SYSBP,VS,VSSTRESC | VSSTRESN | VSSTRESU,vs_raw,vs_raw.SYS_BP,,,standardize_unit,"{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""mmHg""}",TraceSDTM::standardize_unit,,1.0.0,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_TEMP,VS,VSTESTCD | VSTEST | VSORRES | VSORRESU,vs_raw,vs_raw.IT.TEMP,,,transpose_findings,"{""test_code"":""TEMP"",""test_name"":""Temperature"",""original_unit"":""C"",""unit_source"":null}",TraceSDTM::transpose_findings,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_TEMP,VS,VSSTRESC | VSSTRESN | VSSTRESU,vs_raw,vs_raw.IT.TEMP,,,standardize_unit,"{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""C""}",TraceSDTM::standardize_unit,,1.0.0,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_WEIGHT,VS,VSTESTCD | VSTEST | VSORRES | VSORRESU,vs_raw,vs_raw.IT.WEIGHT,,,transpose_findings,"{""test_code"":""WEIGHT"",""test_name"":""Weight"",""original_unit"":""kg"",""unit_source"":null}",TraceSDTM::transpose_findings,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,6
VS_WEIGHT,VS,VSSTRESC | VSSTRESN | VSSTRESU,vs_raw,vs_raw.IT.WEIGHT,,,standardize_unit,"{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""kg""}",TraceSDTM::standardize_unit,,1.0.0,portfolio_demo_reviewer,2026-09-02T09:42:58Z,6
